AIRLINE_ID,CARRIER,CARRIER_ENTITY,CARRIER_NAME,UNIQUE_CARRIER,UNIQUE_CARRIER_ENTITY,UNIQUE_CARRIER_NAME,WAC,CARRIER_GROUP,CARRIER_GROUP_NEW,REGION,START_DATE_SOURCE,THRU_DATE_SOURCE
19031,MAC,30550,Mackey International Inc.,MAC,30550,Mackey International Inc.,10,1,6,Domestic,1/1/60,12/31/82
19032,XY,4530,Munz Northern Airlines Inc.,XY,4530,Munz Northern Airlines Inc.,10,1,1,Domestic,1/1/60,9/30/83
19033,COC,30337,Cochise Airlines Inc.,COC,30337,Cochise Airlines Inc.,10,1,6,Domestic,1/1/60,12/31/84
19034,GSA,37760,Golden Gate Airlines Inc.,GSA,37760,Golden Gate Airlines Inc.,10,1,6,Domestic,1/1/60,12/31/84
19035,RZZ,30012,Aeromech Inc.,RZZ,30012,Aeromech Inc.,10,1,6,Domestic,1/1/60,12/31/84
19036,GLW,30474,Golden West Airlines Co.,GLW,30474,Golden West Airlines Co.,10,1,6,Domestic,1/1/60,12/31/85
19037,PRN,30657,Puerto Rico Intl Airlines,PRN,30657,Puerto Rico Intl Airlines,10,1,6,Domestic,1/1/60,12/31/85
19038,STZ,30780,Air America Inc.,STZ,30780,Air America Inc.,10,1,6,Domestic,1/1/60,12/31/85
19039,SWT,30795,Swift Aire Lines Inc.,SWT,30795,Swift Aire Lines Inc.,10,1,6,Domestic,1/1/60,12/31/85
19040,TSF,37868,American Central Airlines,TSF,37868,American Central Airlines,10,1,6,Domestic,1/1/60,12/31/85
19041,VEZ,37895,Valdez Airlines,VEZ,37895,Valdez Airlines,10,1,6,Domestic,1/1/60,12/31/85
19042,WEB,30911,Southeast Alaska Airlines,WEB,30911,Southeast Alaska Airlines,10,1,6,Domestic,1/1/60,12/31/85
19043,AAR,30159,Altair Airlines Inc.,AAR,30159,Altair Airlines Inc.,10,1,6,Domestic,1/1/60,12/31/86
19044,CHI,30336,Chitina Air Service,CHI,30336,Chitina Air Service,10,1,6,Domestic,1/1/60,12/31/86
19045,MRC,30552,Marco Island Airways Inc.,MRC,30552,Marco Island Airways Inc.,10,1,6,Domestic,1/1/60,12/31/86
19046,OHZ,30297,Caribbean Air Services Inc.,OHZ,30297,Caribbean Air Services Inc.,10,1,6,Domestic,1/1/60,12/31/86
19047,PRO,37612,Sundance Airlines,PRO,37612,Sundance Airlines,10,1,6,Domestic,1/1/60,12/31/86
19048,SAI,37817,Seair Alaska Airlines Inc.,SAI,37817,Seair Alaska Airlines Inc.,10,1,6,Domestic,1/1/60,12/31/86
19049,SLZ,30770,Southeast Airlines Inc.,SLZ,30770,Southeast Airlines Inc.,10,1,6,Domestic,1/1/60,12/31/86
19050,AAZ,30126,Alaska Aeronautical Indust.,AAZ,30126,Alaska Aeronautical Indust.,10,1,6,Domestic,1/1/60,12/31/87
