 total_passengers 
------------------
          2772143
(1 row)

         city_name         | state_name | airport_code |                      airline_name                       | passengers 
---------------------------+------------+--------------+---------------------------------------------------------+------------
 Denver, CO                | Colorado   | DEN          | Virgin America                                          |        117
 Denver, CO                | Colorado   | DEN          | Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways |         43
 Denver, CO                | Colorado   | DEN          | Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways |         41
 Eagle, CO                 | Colorado   | EGE          | Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways |         22
 Denver, CO                | Colorado   | DEN          | Ameristar Air Cargo                                     |          0
 Colorado Springs, CO      | Colorado   | COS          | Allegiant Air                                           |        156
 Aspen, CO                 | Colorado   | ASE          | Avjet Corporation                                       |          3
 Eagle, CO                 | Colorado   | EGE          | Avjet Corporation                                       |          3
 Denver, CO                | Colorado   | DEN          | American Airlines Inc.                                  |         62
 Colorado Springs, CO      | Colorado   | COS          | Delta Air Lines Inc.                                    |        160
 Colorado Springs, CO      | Colorado   | COS          | Delta Air Lines Inc.                                    |        139
 Denver, CO                | Colorado   | DEN          | Delta Air Lines Inc.                                    |          4
 Denver, CO                | Colorado   | DEN          | Delta Air Lines Inc.                                    |        129
 Denver, CO                | Colorado   | DEN          | Delta Air Lines Inc.                                    |         62
 Denver, CO                | Colorado   | DEN          | Delta Air Lines Inc.                                    |          0
 Denver, CO                | Colorado   | DEN          | Delta Air Lines Inc.                                    |        148
 Denver, CO                | Colorado   | DEN          | Delta Air Lines Inc.                                    |        150
 Denver, CO                | Colorado   | DEN          | Delta Air Lines Inc.                                    |        149
 Denver, CO                | Colorado   | DEN          | Delta Air Lines Inc.                                    |        102
 Denver, CO                | Colorado   | DEN          | Delta Air Lines Inc.                                    |         50
 Colorado Springs, CO      | Colorado   | COS          | Miami Air International                                 |          0
 Denver, CO                | Colorado   | DEN          | United Air Lines Inc.                                   |         70
 Denver, CO                | Colorado   | DEN          | United Air Lines Inc.                                   |        152
 Denver, CO                | Colorado   | DEN          | United Air Lines Inc.                                   |        122
 Denver, CO                | Colorado   | DEN          | United Air Lines Inc.                                   |        174
 Denver, CO                | Colorado   | DEN          | United Air Lines Inc.                                   |        163
 Denver, CO                | Colorado   | DEN          | United Air Lines Inc.                                   |        200
