origin_airport_id,dest_airport_id,distance,distance_group
12954,11292,854,2
11292,14771,967,2
14771,11292,967,2
11423,10325,604,2
11292,11315,488,1
11292,12389,576,2
11315,11292,488,1
11503,15016,889,2
15016,11503,889,2
12544,11503,1464,3
10397,11292,1199,3
11292,11996,1278,3
11109,15570,761,2
12889,11109,604,2
10372,10800,725,2
10800,11503,735,2
11503,10800,735,2
14869,10372,292,1
11292,14107,602,2
14100,11292,1558,4
10397,11109,1184,3
11109,10397,1184,3
11109,11298,592,2
11122,11292,230,1
11292,10397,1199,3
11292,11193,1069,3
11292,11433,1123,3
11292,11775,483,1
11292,12889,628,2
11292,14679,853,2
11292,14869,391,1
11433,11292,1123,3
13487,11292,680,2
13851,11292,495,1
14869,11292,391,1
10529,11292,1671,4
11109,16091,1136,3
13796,11109,954,2
10558,11292,150,1
11292,11042,1201,3
11292,12448,967,2
11292,12892,862,2
11292,13303,1709,4
11292,14524,1482,3
13341,11292,541,2
11109,11292,73,1
11233,11292,90,1
11259,11109,602,2
11292,10792,1359,3
11292,11140,929,2
11292,11481,1250,3
11292,11973,1095,3
11292,12896,456,1
11292,12992,771,2
14831,11109,943,2
10325,10423,764,2
10325,13930,903,2
10325,14831,937,2
10423,10325,764,2
11066,10325,1166,3
14792,10372,919,2
10466,11292,595,2
10747,11292,1049,3
11292,13796,957,2
11292,14275,1120,3
11563,11921,312,1
11921,11563,312,1
14576,11292,1413,3
15370,11292,541,2
11376,11292,870,2
11292,13342,896,2
14570,11292,804,2
11292,10590,632,2
11719,10590,637,2
10590,11292,632,2
10590,11719,637,2
10590,13502,436,1
10590,14288,598,2
13502,10590,436,1
14288,10590,598,2
11840,14288,1070,3
14288,13796,967,2
11193,11292,1069,3
14747,11109,1068,3
11292,13851,495,1
10325,11292,22,1
11283,11292,292,1
11292,10558,150,1
11292,11283,292,1
11292,11292,0,1
11292,11468,305,1
11292,12899,228,1
11292,12902,280,1
11468,11292,305,1
12899,11292,228,1
12902,10325,274,1
12902,11292,280,1
11292,14081,420,1
14288,11711,231,1
11292,10409,519,2
12389,11292,576,2
11921,12889,420,1
12889,11921,420,1
11109,12278,403,1
11292,10721,1754,4
13204,11292,1546,4
13930,11109,911,2
14492,11292,1436,3
14869,11109,411,1
11292,13487,680,2
11292,15370,541,2
11986,11292,1015,3
11097,11292,391,1
11109,12992,746,2
11109,13486,734,2
11109,15376,580,2
11278,11109,1487,3
11292,10140,349,1
11292,10423,775,2
11292,11003,692,2
11292,11097,391,1
11292,11122,230,1
11292,11298,641,2
11292,11986,1015,3
11292,12266,862,2
11292,12441,406,1
11292,13264,964,2
11292,13871,472,1
11292,13930,888,2
11292,14489,898,2
11292,14730,1024,3
11292,14908,846,2
11292,15041,557,2
11298,11109,592,2
11921,12892,655,2
12266,11292,862,2
12441,11292,406,1
12888,11292,113,1
12892,11292,862,2
12992,11292,771,2
13264,11292,964,2
13486,11109,734,2
13930,11292,888,2
14057,11292,991,2
14252,11921,730,2
14679,11292,853,2
14683,11292,794,2
14794,11109,496,1
14893,11292,909,2
14908,11292,846,2
10140,11292,349,1
10721,11292,1754,4
10849,11292,524,2
11292,10620,455,1
11292,10849,524,2
11292,11697,1703,4
11292,12264,1452,3
11292,13198,533,2
11292,13204,1546,4
11292,14100,1558,4
11292,14262,776,2
11292,14570,804,2
11292,15016,770,2
12264,11292,1452,3
13198,11292,533,2
14262,11292,776,2
14524,11292,1482,3
14689,11292,916,2
15016,11292,770,2
10994,11292,1449,3
11042,11292,1201,3
11292,10713,649,2
11292,14057,991,2
11292,14635,1607,4
13495,11292,1062,3
14122,11292,1290,3
14635,11292,1607,4
11292,11109,73,1
11292,11423,589,2
11292,12278,420,1
12278,11292,420,1
14730,11292,1024,3
11292,11066,1154,3
11292,12339,977,2
11292,13486,679,2
11292,15412,1162,3
12339,11292,977,2
13486,11292,679,2
14107,11292,602,2
15304,11292,1506,4
15412,11292,1162,3
11292,13495,1062,3
11292,15376,639,2
11921,14869,216,1
13244,11921,1061,3
13796,11292,957,2
13502,12891,593,2
11292,11413,250,1
11413,11292,250,1
11298,13502,722,2
13502,11298,722,2
11292,14877,383,1
14877,11292,383,1
11109,15016,773,2
12266,12012,886,2
11292,10559,1026,3
11423,11292,589,2
11292,11921,212,1
11292,12003,624,2
11292,14683,794,2
11638,11109,833,2
11921,10372,89,1
11921,11292,212,1
11921,11298,773,2
12003,11292,624,2
13930,11921,1100,3
15919,11292,616,2
11278,11292,1476,3
11292,11278,1476,3
11292,11884,836,2
11292,14492,1436,3
11292,14689,916,2
11292,15304,1506,4
11603,11292,996,2
11618,11292,1605,4
11884,11292,836,2
12889,11292,628,2
15376,11292,639,2
10713,11292,649,2
11292,10821,1491,3
11292,10994,1449,3
14747,11292,1024,3
14831,11292,948,2
11066,11292,1154,3
11292,10599,1083,3
11292,13485,826,2
13485,11292,826,2
11292,11540,563,2
11298,11292,641,2
13367,11292,752,2
10279,11292,359,1
11292,10279,359,1
11292,11267,1085,3
11292,13502,196,1
11292,13891,819,2
12892,11921,655,2
12896,11292,456,1
13502,11292,196,1
13891,11292,819,2
14457,11292,300,1
10800,11292,850,2
10821,11292,1491,3
11057,11292,1337,3
11292,11618,1605,4
10257,11292,1610,4
11292,12954,854,2
11292,13931,1553,4
11292,14747,1024,3
11292,14831,948,2
11292,14893,909,2
13871,11292,472,1
13931,11292,1553,4
10599,11292,1083,3
11292,10693,1014,3
11292,13244,872,2
11292,15919,616,2
13244,11292,872,2
11003,11292,692,2
10620,11292,455,1
11292,14783,637,2
11292,14814,792,2
14814,11292,792,2
11413,12892,640,2
12892,11413,640,2
14783,11292,637,2
11292,11057,1337,3
11292,11603,996,2
11292,11648,752,2
11292,12982,3414,7
11648,11292,752,2
12982,11292,3414,7
13342,11292,896,2
11540,11292,563,2
13502,13930,1081,3
13930,13502,1081,3
11292,10800,850,2
11292,13433,604,2
11697,11292,1703,4
10693,11292,1014,3
12191,11292,883,2
11292,11233,90,1
11109,12892,834,2
11292,13964,1040,3
13433,11292,604,2
13964,11292,1040,3
14489,11292,898,2
10423,11292,775,2
11292,12451,1447,3
12451,11292,1447,3
11109,11921,207,1
11921,11109,207,1
10561,11292,845,2
11292,14122,1290,3
11292,14193,1179,3
14193,11292,1179,3
11292,12094,141,1
11775,11292,483,1
11292,10529,1671,4
11292,12953,1620,4
11292,12191,883,2
11109,14771,964,2
14771,11109,964,2
11292,12012,152,1
12012,11292,152,1
12094,11292,141,1
10466,11109,543,2
11109,10466,543,2
11109,12889,604,2
10643,11292,665,2
11292,10643,665,2
12266,11109,809,2
11292,15177,218,1
15177,11292,218,1
10950,14107,328,1
14107,10950,328,1
12892,11109,834,2
11292,12478,1626,4
12478,11292,1626,4
11638,11921,632,2
12953,11292,1620,4
11292,11995,1370,3
11995,11292,1370,3
11259,11292,651,2
11109,14747,1068,3
11292,13367,752,2
11921,11638,632,2
11921,13244,1061,3
11292,11259,651,2
14512,11292,828,2
11109,13930,911,2
10194,11292,626,2
11292,10194,626,2
10372,14869,292,1
11267,11292,1085,3
11638,11292,844,2
10140,11413,160,1
11711,11413,40,1
10372,14771,848,2
11447,11292,638,2
13029,11292,423,1
10627,11292,516,2
11292,10627,516,2
11109,13244,854,2
12094,11122,172,1
13244,11109,854,2
11292,14457,300,1
11292,11638,844,2
14698,11292,931,2
14771,10372,848,2
13158,11292,563,2
12266,13502,927,2
13502,12266,927,2
11292,14698,931,2
12266,10372,913,2
11292,12758,3329,7
11292,13830,3302,7
12758,11292,3329,7
13830,11292,3302,7
11292,13158,563,2
11122,12094,172,1
11109,12266,809,2
11292,10950,277,1
11413,10140,160,1
10372,12266,913,2
10140,10272,170,1
10272,10140,170,1
10950,11292,277,1
11292,13029,423,1
11503,11298,721,2
13303,11292,1709,4
11292,11637,627,2
11298,11503,721,2
10372,11298,701,2
11298,10372,701,2
13502,14107,419,1
14107,13502,419,1
11292,11503,120,1
11503,11292,120,1
11292,12156,594,2
12156,11292,594,2
12519,11292,573,2
11292,12173,3365,7
12173,11292,3365,7
11292,10257,1610,4
11109,13204,1520,4
11109,14107,551,2
13204,11109,1520,4
14107,11109,551,2
11292,12217,1048,3
12217,11292,1048,3
11637,11292,627,2
11292,14534,296,1
14534,11292,296,1
11711,11292,289,1
11292,11711,289,1
11292,14120,385,1
13930,10372,1013,3
10299,11292,2405,5
14120,11292,385,1
10372,13930,1013,3
11292,12255,298,1
11292,12519,573,2
11292,12888,113,1
12255,11292,298,1
10221,11292,180,1
10925,11292,221,1
11292,10221,180,1
11292,10925,221,1
11292,13200,218,1
11292,15582,259,1
13200,11292,218,1
15582,11292,259,1
11292,10299,2405,5
11292,10561,845,2
11292,11865,313,1
11292,14543,260,1
11865,11292,313,1
14543,11292,260,1
11092,11292,283,1
11292,11092,283,1
11109,14869,411,1
12892,10372,737,2
14252,11292,852,2
14794,11292,517,2
10372,12892,737,2
11292,14252,852,2
11292,14794,517,2
11413,14107,353,1
11921,14107,438,1
14107,11413,353,1
14107,11921,438,1
11292,14674,303,1
14674,11292,303,1
10272,11292,179,1
11292,14288,109,1
14288,11292,109,1
11292,10272,179,1
14869,11921,216,1
12280,11292,458,1
11292,12280,458,1
11298,11921,773,2
11413,11298,674,2
11298,11413,674,2
13232,11292,895,2
11292,13232,895,2
10372,11292,125,1
11292,10372,125,1
