year,month,class,passengers ,freight ,mail,ramp_to_ramp,air_time,origin_airport_id,destination_airport_id,flight_id,unique_carrier_entity,departures_scheduled,departures_performed
2017,6,F,146,0,0,124,107,12954,11292,0,6673,0,1
2017,6,F,117,0,0,144,125,11292,14771,1,1006,0,1
2017,6,F,119,0,0,162,121,14771,11292,2,1006,0,1
2017,6,L,2,0,0,120,108,11423,10325,3,1126,0,1
2017,6,L,43,0,0,91,72,11292,11315,4,6081,0,1
2017,6,L,41,0,0,200,165,11292,12389,5,6081,0,2
2017,6,L,35,0,0,91,82,11315,11292,6,6081,0,1
2017,6,L,22,0,0,131,116,11503,15016,7,6081,0,1
2017,6,L,38,0,0,143,124,15016,11503,8,6081,0,1
2017,6,L,0,0,0,206,196,12544,11503,9,6081,0,1
2017,6,P,0,800,0,178,168,10397,11292,10,6055,0,1
2017,6,P,0,0,0,181,167,11292,11996,11,6055,0,1
2017,6,L,156,0,0,132,120,11109,15570,12,6035,0,1
2017,6,L,0,0,0,96,72,12889,11109,13,6035,0,1
2017,6,L,3,0,0,122,113,10372,10800,14,1150,0,1
2017,6,L,4,0,0,234,210,10800,11503,15,1150,0,2
2017,6,L,3,0,0,233,209,11503,10800,16,1150,0,2
2017,6,L,2,0,0,54,47,14869,10372,17,1150,0,1
2017,6,L,62,0,0,164,88,11292,14107,18,0A050,0,1
2017,6,L,56,0,0,260,216,14100,11292,19,0A050,0,1
2017,6,F,160,0,0,169,152,10397,11109,20,1260,0,1
2017,6,F,30,0,0,212,172,10397,11292,21,1260,0,1
2017,6,F,150,14,39,174,156,10397,11292,22,1260,0,1
2017,6,F,160,0,0,166,148,11109,10397,23,1260,0,1
2017,6,F,139,0,0,91,75,11109,11298,24,1260,0,1
2017,6,F,103,492,0,83,54,11122,11292,25,1260,0,1
2017,6,F,4,0,0,153,132,11292,10397,26,1260,0,1
2017,6,F,129,0,0,173,152,11292,10397,27,1260,0,1
2017,6,L,62,0,0,167,143,11292,10397,28,1260,0,1
2017,6,L,0,0,0,142,128,11292,11193,29,1260,0,1
2017,6,F,148,0,0,158,137,11292,11433,30,1260,0,1
2017,6,F,150,32,0,152,126,11292,11775,31,1260,0,1
2017,6,F,149,0,0,118,92,11292,12889,32,1260,0,1
2017,6,F,102,70,4,142,115,11292,14679,33,1260,0,1
2017,6,L,50,0,0,92,70,11292,14869,34,1260,0,1
2017,6,F,147,5,0,178,151,11433,11292,35,1260,0,1
2017,6,F,160,28,0,142,101,13487,11292,36,1260,0,1
2017,6,F,156,0,226,115,76,13851,11292,37,1260,0,1
2017,6,L,61,0,0,280,229,14771,11292,38,1260,0,2
2017,6,L,52,0,0,84,53,14869,11292,39,1260,0,1
2017,6,L,0,0,0,275,255,10529,11292,40,6690,0,1
2017,6,L,0,0,0,160,140,11109,16091,41,6690,0,1
2017,6,L,27,0,0,150,120,13796,11109,42,6690,0,1
2017,6,F,126,4,0,48,36,10558,11292,43,0A875,0,1
2017,6,L,70,10064,0,168,151,11292,11042,44,0A875,0,1
2017,6,F,152,0,282,218,190,11292,12448,45,0A875,0,1
2017,6,F,122,1,0,144,116,11292,12892,46,0A875,0,1
2017,6,F,174,0,0,298,270,11292,13303,47,0A875,0,1
2017,6,F,163,0,0,249,217,11292,14524,48,0A875,0,1
2017,6,L,58,10064,0,86,79,13341,11292,49,0A875,0,1
2017,6,F,200,0,0,206,119,11292,14771,50,10877,0,1
2017,6,F,281,2628,0,83,41,11109,11292,51,6725,0,2
2017,6,F,278,1614,0,96,45,11233,11292,52,6725,0,2
2017,6,F,175,252,0,40,23,11233,11292,53,6725,0,1
2017,6,F,141,1280,0,162,137,11259,11109,54,6725,0,1
2017,6,F,142,151,0,230,213,11292,10792,55,6725,0,1
2017,6,F,160,167,0,167,148,11292,11140,56,6725,0,1
2017,6,F,164,120,0,212,198,11292,11481,57,6725,0,1
2017,6,F,143,0,0,170,156,11292,11973,58,6725,0,1
2017,6,F,132,0,0,225,210,11292,11996,59,6725,0,1
2017,6,F,143,0,0,129,115,11292,12896,60,6725,0,1
2017,6,F,165,0,0,128,112,11292,12992,61,6725,0,1
2017,6,F,140,1348,0,162,141,14831,11109,62,6725,0,1
2017,6,F,120,0,0,34,19,11109,11292,63,11033,0,1
2017,6,L,1,0,0,144,132,10325,10423,64,1194,0,1
2017,6,L,0,0,0,150,132,10325,13930,65,1194,0,1
2017,6,L,1,0,0,144,126,10325,14831,66,1194,0,1
2017,6,L,1,0,0,120,102,10423,10325,67,1194,0,1
2017,6,L,0,0,0,174,162,11066,10325,68,1194,0,1
2017,6,L,6,0,0,144,132,14792,10372,69,1194,0,1
2017,6,L,0,0,0,120,90,11292,12889,70,16736,0,1
2017,6,L,30,0,0,195,161,10466,11292,71,1130,0,2
2017,6,L,15,0,0,162,151,10747,11292,72,1130,0,1
2017,6,L,21,0,0,155,132,11292,13796,73,1130,0,1
2017,6,L,0,0,0,157,142,11292,14275,74,1130,0,1
2017,6,L,45,0,0,266,186,11292,14869,75,1130,0,3
2017,6,L,138,0,0,58,41,11563,11921,76,1130,0,1
2017,6,L,138,0,0,67,49,11921,11563,77,1130,0,1
2017,6,L,0,0,0,210,196,14576,11292,78,1130,0,1
2017,6,L,20,0,0,92,82,15370,11292,79,1130,0,1
2017,6,P,0,8878,0,145,125,11292,13796,80,6774,0,1
2017,6,P,0,8878,0,140,120,11376,11292,81,6774,0,1
2017,6,L,14,0,0,129,110,11292,13342,82,1189,0,1
2017,6,L,13,0,0,124,106,14570,11292,83,1189,0,1
2017,6,L,286,0,0,473,369,11292,10590,84,6795,0,2
2017,6,L,149,0,0,124,102,11719,10590,85,6795,0,1
2017,6,L,129,0,0,213,175,10590,11292,86,6795,0,1
2017,6,L,148,0,0,208,175,10590,11719,87,6795,0,1
2017,6,L,93,0,0,209,179,10590,13502,88,6795,0,1
2017,6,L,156,0,0,191,169,10590,14288,89,6795,0,1
2017,6,L,93,0,0,207,183,13502,10590,90,6795,0,1
2017,6,L,154,0,0,211,182,14288,10590,91,6795,0,1
2017,6,P,0,270,0,170,160,11840,14288,92,6912,0,1
2017,6,P,0,270,0,175,155,14288,13796,93,6912,0,1
2017,6,P,0,627144,0,3922,3343,11193,11292,94,6841,0,22
2017,6,P,0,431309,0,3620,2944,11292,11193,95,6841,0,22
2017,6,F,156,0,0,48,19,11109,11292,96,6031,0,1
2017,6,F,156,0,0,180,148,14747,11109,97,6031,0,1
2017,6,F,49,0,0,55,29,10558,11292,98,6904,0,1
2017,6,F,34,0,0,136,114,11292,13851,99,6904,0,1
2017,6,F,5,0,0,32,13,10325,11292,100,6975,0,1
2017,6,F,329,0,0,2622,1956,10558,11292,101,6975,0,44
2017,6,F,116,0,0,1692,1405,11283,11292,102,6975,0,19
2017,6,F,343,0,0,2489,1733,11292,10558,103,6975,0,45
2017,6,F,176,0,0,1912,1491,11292,11283,104,6975,0,23
2017,6,F,37,0,0,224,176,11292,11292,105,6975,0,3
2017,6,F,645,0,0,4620,3767,11292,11468,106,6975,0,56
2017,6,F,423,0,0,3481,2635,11292,12899,107,6975,0,48
2017,6,F,82,0,0,1605,1299,11292,12902,108,6975,0,19
2017,6,F,600,0,0,5338,4462,11468,11292,109,6975,0,56
2017,6,F,422,0,0,3700,2947,12899,11292,110,6975,0,48
2017,6,F,5,0,0,100,87,12902,10325,111,6975,0,1
2017,6,F,153,0,0,1830,1524,12902,11292,112,6975,0,21
2017,6,F,5,0,0,117,103,11292,14081,113,6932,0,1
2017,6,F,5,0,0,79,60,14288,11711,114,6932,0,1
2017,6,F,6,0,0,100,84,11292,11292,115,1177,0,1
2017,6,F,20,0,0,60,45,10558,11292,116,6081,1,1
2017,6,F,40,0,0,86,67,11292,10409,117,6081,1,1
2017,6,F,34,0,0,106,81,11292,12389,118,6081,1,1
2017,6,F,121,0,0,298,260,12389,11292,119,6081,1,3
2017,6,F,113,0,0,78,60,11921,12889,120,6035,1,1
2017,6,F,151,0,0,84,60,12889,11921,121,6035,1,1
2017,6,F,150,450,266,42,20,11109,11292,122,0A050,1,1
2017,6,F,133,0,0,97,78,11109,11298,123,0A050,1,1
2017,6,F,124,0,0,117,85,11109,12278,124,0A050,1,1
2017,6,F,168,428,0,255,207,11292,10721,125,0A050,1,1
