city_name,city_abr,state_abr,wac,city_market_id
"Long Beach, CA",LGB,CA,91,32575
"Denver, CO",DEN,CO,82,30325
"San Francisco, CA",SFO,CA,91,32457
"Des Moines, IA",DSM,IA,61,31423
"Dickinson, ND",DIK,ND,66,31315
"Eagle, CO",EGE,CO,82,31503
"St. Louis, MO",STL,MO,64,31123
"CONCORD, NC",USA,NC,36,32544
"Atlanta, GA",ATL,GA,34,30397
"Colorado Springs, CO",COS,CO,82,30189
"Las Vegas, NV",LAS,NV,85,32211
"Aspen, CO",ASE,CO,82,30372
"Burbank, CA",BUR,CA,91,32575
"Salt Lake City, UT",SLC,UT,87,34614
"Philadelphia, PA",PHL,PA,23,34100
"Casper, WY",CPR,WY,88,31122
"Detroit, MI",DTW,MI,43,31295
"Minneapolis, MN",MSP,MN,63,31650
"Oklahoma City, OK",OKC,OK,73,33851
"Hartford, CT",BDL,CT,11,30529
"Oakland, CA",OAK,CA,91,32457
"Scottsbluff, NE",BFF,NE,65,30558
"Kansas City, MO",MKC,MO,64,33198
"Cheyenne, WY",CYS,WY,88,31233
"Dallas, TX",DAL,TX,74,30194
"San Jose, CA",SJC,CA,91,32457
"Denver, CO",APA,CO,82,30325
"Austin, TX",AUS,TX,74,30423
"Columbus, OH",CMH,OH,44,31066
"Sugar Land, TX",SGR,TX,74,34792
"Phoenix, AZ",AZA,AZ,81,30466
"Brownsville, TX",BRO,TX,74,30747
"Wendover, UT",ENV,UT,87,31563
"Grand Junction, CO",GJT,CO,82,31921
"Rochester, NY",ROC,NY,22,34576
"Tulsa, OK",TUL,OK,73,34653
"Chicago, IL",DPA,IL,41,30977
"Reno, NV",RNO,NV,85,34570
"Fort Collins/Loveland, CO",FNL,CO,82,31719
"Bullhead City, AZ",IFP,AZ,81,30590
"Montrose/Delta, CO",MTJ,CO,82,33502
"Pueblo, CO",PUB,CO,82,34288
"Gadsden, AL",GAD,AL,51,31840
"Cincinnati, OH",CVG,KY,52,33105
"Seattle, WA",SEA,WA,93,30559
"Dodge City, KS",DDC,KS,62,31283
"Kearney, NE",EAR,NE,65,31468
"North Platte, NE",LBF,NE,65,32899
"Liberal, KS",LBL,KS,62,32902
"Williston, ND",ISN,ND,66,32389
"Orlando, FL",MCO,FL,33,31454
"Chicago, IL",ORD,IL,41,30977
"Raleigh/Durham, NC",RDU,NC,36,34492
"Grand Rapids, MI",GRR,MI,43,31986
"Cody, WY",COD,WY,88,31097
"Washington, DC",DCA,VA,38,30852
"Dallas/Fort Worth, TX",DFW,TX,74,30194
"Houston, TX",IAH,TX,74,31453
"Jackson, WY",JAC,WY,88,32441
"Laramie, WY",LAR,WY,88,32888
